year,horizon,start_date,end_date,avg_high,avg_low,avg_high_dev,avg_low_dev,total_rain,normal_total_rain,rain_excess,rainy_days,normal_rainy_days,wettest_2day,wettest_3day,wettest_5day,concentrated_rain_share,dry_streak,wet_streak,hot_streak,cool_streak,warm_night_streak,cool_night_streak,ante_dry,ante_wet,record_days,max_high_dev,min_high_dev,max_low_dev,min_low_dev,rain_ratio,month_label,season,score,family,label,description,window_note,example_id,chart_file,why_useful,key_facts
2021,14,2021-04-12,2021-04-25,31.425,22.037142857142857,-1.7583571428571436,0.09287499999999992,81.11,24.7805,56.329499999999996,10,14,43.22,51.72,59.11,0.6376525705831587,2,8,0,4,0,0,51,0,0,-0.1737499999999983,-3.7787500000000023,1.1057500000000005,-1.6575000000000024,3.273138152983192,Apr,pre-monsoon,138.4865257058316,rain_burst_after_dry,Dry spell broken by a sharp burst,One short rain episode arrives after a long preceding dry run.,"The story is the break, not the total.",Example 01,charts/rain-burst-after-dry_20210412_14d.png,Totals alone are misleading; the key is the sudden break after dryness.,Window length: 14 days | Rain: 81.1mm vs normal 24.8mm | Rainy days: 10 | Antecedent dry streak: 51 days | Wet streak in window: 8 days | Cool-day streak: 4 days
2005,30,2005-10-01,2005-10-30,26.115000000000002,19.63233333333333,-0.9494305555555557,0.4291805555555554,361.01,132.55083333333334,228.45916666666665,30,30,54.11,69.74,97.48999999999998,0.1931802443145619,0,30,0,4,0,0,0,35,0,1.588750000000001,-5.396249999999998,1.8266666666666644,-0.29791666666666927,2.723558886213465,Oct,post-monsoon,66.101,sustained_wet,Sustained wet stretch,"Rain is distributed across many days, not concentrated in one spike.",A longer window is needed so the persistence is visible.,Example 02,charts/sustained-wet_20051001_30d.png,This teaches the model to recognise persistence rather than a single heavy day.,Window length: 30 days | Rain: 361.0mm vs normal 132.6mm | Rainy days: 30 | Wet streak in window: 30 days | Cool-day streak: 4 days
2013,7,2013-05-14,2013-05-20,32.76285714285714,22.107142857142858,0.8128571428571411,0.619017857142857,110.71999999999998,24.540625,86.179375,3,7,104.45999999999998,110.58999999999999,110.71999999999998,0.9988258670520231,4,3,0,0,1,0,5,7,0,1.9646874999999966,-0.3603125000000027,2.4862499999999983,-1.205312499999998,4.5117025340634145,May,pre-monsoon,122.70238800578034,concentrated_rain,Rain concentrated into one short spell,"A period looks wet on total rainfall, but nearly all of it comes from one brief burst.",Shorter framing prevents one burst from being misread as a wet fortnight.,Example 03,charts/concentrated-rain_20130514_7d.png,This teaches the model not to call a window broadly wet when the rain is concentrated.,Window length: 7 days | Rain: 110.7mm vs normal 24.5mm | Rainy days: 3
2015,14,2015-10-12,2015-10-25,29.861428571428572,19.605,2.681827731092437,0.32815126050420196,1.12,57.74911764705881,-56.62911764705881,1,14,1.01,1.01,1.01,0.9017857142857142,13,1,13,0,1,1,0,21,9,3.3255882352941164,0.9717647058823538,2.016470588235297,-2.4067647058823525,0.019394235715340703,Oct,post-monsoon,69.62911764705882,persistent_dry,Persistently dry window,"Dryness itself is the main signal, relative to what is normal for the season.",A wider window is useful because absence is cumulative.,Example 04,charts/persistent-dry_20151012_14d.png,This teaches the model to treat absence of rain as a real signal.,Window length: 14 days | Rain: 1.1mm vs normal 57.7mm | Rainy days: 1 | Dry streak in window: 13 days | Hot-day streak: 13 days | Record days: 9
2024,14,2024-04-24,2024-05-07,37.29642857142857,25.670714285714286,4.4075083056478395,3.5701328903654472,3.38,34.82162790697674,-31.441627906976738,5,14,2.04,2.55,2.6999999999999997,0.7544378698224852,8,3,14,0,14,0,12,0,11,5.79372093023256,2.474418604651163,4.95720930232558,2.7995348837209306,0.0970661110109328,Apr,pre-monsoon,28.60873754152824,hot_spell,Daytime heat spell,High temperatures sit well above normal for several consecutive days.,The run-length matters more than any single hottest day.,Example 05,charts/hot-spell_20240424_14d.png,This teaches the model to prioritise a clear daytime heat run.,Window length: 14 days | Rain: 3.4mm vs normal 34.8mm | Rainy days: 5 | Antecedent dry streak: 12 days | Dry streak in window: 8 days | Hot-day streak: 14 days | Warm-night streak: 14 days | Record days: 11
2014,14,2014-12-07,2014-12-20,27.33642857142857,19.475,1.4790476190476192,3.743658008658009,13.59,9.86,3.7300000000000004,11,14,7,7.83,10.959999999999999,0.576158940397351,1,10,4,0,14,0,8,0,3,3.7324242424242406,-1.0027272727272702,5.179090909090908,2.2690909090909095,1.3782961460446248,Dec,winter,26.66640692640693,warm_nights,Warm-night run,Night temperatures stay unusually elevated even if daytime highs are not extreme.,This needs enough days for the night pattern to be unmistakable.,Example 06,charts/warm-nights_20141207_14d.png,This teaches the model not to miss elevated night temperatures when highs are less dramatic.,Window length: 14 days | Rain: 13.6mm vs normal 9.9mm | Rainy days: 11 | Antecedent dry streak: 8 days | Wet streak in window: 10 days | Hot-day streak: 4 days | Warm-night streak: 14 days | Record days: 3
2008,14,2008-03-20,2008-04-02,28.47,20.20285714285714,-4.506296296296297,-0.5855820105820104,129.54999999999998,8.555555555555555,120.99444444444443,14,13,32.14,43.53,58.44,0.3360092628328831,0,14,0,14,0,0,3,15,0,-2.1133333333333297,-9.171481481481482,0.08962962962963061,-1.2214814814814794,15.14220779220779,Mar,pre-monsoon,32.184074074074076,cool_spell,Cool daytime spell,Highs run meaningfully below normal for a sustained stretch.,"This is about persistent daytime coolness, not a one-day dip.",Example 07,charts/cool-spell_20080320_14d.png,This teaches the model to spot sustained cool highs relative to normal.,Window length: 14 days | Rain: 129.5mm vs normal 8.6mm | Rainy days: 14 | Wet streak in window: 14 days | Cool-day streak: 14 days
2008,14,2008-10-26,2008-11-08,27.059285714285714,15.042142857142856,0.8883597883597879,-3.6294444444444443,1.8000000000000003,54.742222222222225,-52.94222222222223,1,14,1.8000000000000003,1.8000000000000003,1.8000000000000003,1,13,1,0,1,0,14,0,28,9,1.4522222222222219,-2.3381481481481465,-2.144074074074073,-4.633333333333331,0.0328813834537631,Oct,post-monsoon,25.892222222222223,cool_nights,Cool-night run,Night temperatures stay below normal for several days.,The window is chosen to preserve the night-time pattern.,Example 08,charts/cool-nights_20081026_14d.png,This teaches the model to separate cool nights from cool days.,Window length: 14 days | Rain: 1.8mm vs normal 54.7mm | Rainy days: 1 | Dry streak in window: 13 days | Cool-night streak: 14 days | Record days: 9
2016,14,2016-11-15,2016-11-28,29.960714285714285,17.055714285714284,3.8171836734693887,-0.12777551020408165,0.5700000000000001,25.777428571428576,-25.207428571428576,2,14,0.5700000000000001,0.5700000000000001,0.5700000000000001,1,11,2,14,0,2,1,2,3,14,4.7477142857142844,2.942285714285717,3.395142857142858,-2.3468571428571448,0.0221123685173075,Nov,post-monsoon,59.81718367346939,record_cluster,Record-heavy patch,Several days in the window broke prior calendar-date records.,The record cluster is the editorial hook.,Example 09,charts/record-cluster_20161115_14d.png,This teaches the model to foreground records when they cluster.,Window length: 14 days | Rain: 0.6mm vs normal 25.8mm | Rainy days: 2 | Dry streak in window: 11 days | Hot-day streak: 14 days | Record days: 14
2015,30,2015-11-03,2015-12-02,25.348333333333333,19.546333333333333,-0.8340392156862744,2.0975000000000006,371.50000000000006,56.6285294117647,314.87147058823535,25,30,165.17,169.75,184.92000000000002,0.45693135935397033,4,18,3,4,7,0,0,12,1,3.386176470588236,-5.928529411764703,4.337058823529411,-0.049411764705880046,6.5602975012595,Nov,post-monsoon,68.270595002519,wet_month_build,Wet month building through accumulation,"The signal is cumulative rainfall excess over a month, not one isolated day.",A 30-day view is needed because the anomaly accumulates.,Example 10,charts/wet-month-build_20151103_30d.png,This teaches the model that some stories are cumulative and need a month-long frame.,Window length: 30 days | Rain: 371.5mm vs normal 56.6mm | Rainy days: 25 | Wet streak in window: 18 days | Warm-night streak: 7 days | Cool-day streak: 4 days | Record days: 1
